"code" "value"
"1" 30
"1.1" 30
"1.2" 30
"1.3" 30
"1.4" 30
"1.5" 30
"1.6" 30
"1.7" 30
"1.8" 30
"1.9" 30
"1" 40
"1.1" 40
"1.2" 40
"1.3" 40
"1.4" 40
"1.5" 40
"1.6" 40
"1.7" 40
"1.8" 40
"1.9" 40
"1" 50
"1.1" 50
"1.2" 50
"1.3" 50
"1.4" 50
"1.5" 50
"1.6" 50
"1.7" 50
"1.8" 50
"1.9" 50
"1" 60
"1" 61
"1" 62
"1.1" 60
"1.1" 61
"1.1" 62
"1.2" 60
"1.2" 61
"1.2" 62
"1.3" 60
"1.3" 61
"1.3" 62
"1.4" 60
"1.4" 61
"1.4" 62
"1.5" 60
"1.5" 61
"1.5" 62
"1.6" 60
"1.6" 61
"1.6" 62
"1.7" 60
"1.7" 61
"1.7" 62
"1.8" 60
"1.8" 61
"1.8" 62
"1.9" 60
"1.9" 61
"1.9" 62
"1" 70
"1" 71
"1" 72
"1.1" 70
"1.1" 71
"1.1" 72
"1.2" 70
"1.2" 71
"1.2" 72
"1.3" 70
"1.3" 71
"1.3" 72
"1.4" 70
"1.4" 71
"1.4" 72
"1.5" 70
"1.5" 71
"1.5" 72
"1.6" 70
"1.6" 71
"1.6" 72
"1.7" 70
"1.7" 71
"1.7" 72
"1.8" 70
"1.8" 71
"1.8" 72
"1.9" 70
"1.9" 71
"1.9" 72
"1" 80
"1" 81
"1" 82
"1.1" 80
"1.1" 81
"1.1" 82
"1.2" 80
"1.2" 81
"1.2" 82
"1.3" 80
"1.3" 81
"1.3" 82
"1.4" 80
"1.4" 81
"1.4" 82
"1.5" 80
"1.5" 81
"1.5" 82
"1.6" 80
"1.6" 81
"1.6" 82
"1.7" 80
"1.7" 81
"1.7" 82
"1.8" 80
"1.8" 81
"1.8" 82
"1.9" 80
"1.9" 81
"1.9" 82
"1" 90
"1.1" 90
"1.2" 90
"1.3" 90
"1.4" 90
"1.5" 90
"1.6" 90
"1.7" 90
"1.8" 90
"1.9" 90
"1" 100
"1.1" 100
"1.2" 100
"1.3" 100
"1.4" 100
"1.5" 100
"1.6" 100
"1.7" 100
"1.8" 100
"1.9" 100
"1" 160
"1.1" 160
"1.2" 160
"1.3" 160
"1.4" 160
"1.5" 160
"1.6" 160
"1.7" 160
"1.8" 160
"1.9" 160
"2" 40
"2.1" 40
"2.2" 40
"2" 100
"2.1" 100
"2.2" 100
"2" 110
"2.1" 110
"2.2" 110
"2" 120
"2" 121
"2" 122
"2.1" 120
"2.1" 121
"2.1" 122
"2.2" 120
"2.2" 121
"2.2" 122
"3" 30
"3.1" 30
"3.2" 30
"3.3" 30
"3.4" 30
"3.5" 30
"3.6" 30
"3.7" 30
"3.8" 30
"3" 40
"3.1" 40
"3.2" 40
"3.3" 40
"3.4" 40
"3.5" 40
"3.6" 40
"3.7" 40
"3.8" 40
"3" 100
"3.1" 100
"3.2" 100
"3.3" 100
"3.4" 100
"3.5" 100
"3.6" 100
"3.7" 100
"3.8" 100
"3" 120
"3" 121
"3" 122
"3.1" 120
"3.1" 121
"3.1" 122
"3.2" 120
"3.2" 121
"3.2" 122
"3.3" 120
"3.3" 121
"3.3" 122
"3.4" 120
"3.4" 121
"3.4" 122
"3.5" 120
"3.5" 121
"3.5" 122
"3.6" 120
"3.6" 121
"3.6" 122
"3.7" 120
"3.7" 121
"3.7" 122
"3.8" 120
"3.8" 121
"3.8" 122
"3" 130
"3.1" 130
"3.2" 130
"3.3" 130
"3.4" 130
"3.5" 130
"3.6" 130
"3.7" 130
"3.8" 130
"3" 150
"3" 151
"3" 152
"3" 153
"3.1" 150
"3.1" 151
"3.1" 152
"3.1" 153
"3.2" 150
"3.2" 151
"3.2" 152
"3.2" 153
"3.3" 150
"3.3" 151
"3.3" 152
"3.3" 153
"3.4" 150
"3.4" 151
"3.4" 152
"3.4" 153
"3.5" 150
"3.5" 151
"3.5" 152
"3.5" 153
"3.6" 150
"3.6" 151
"3.6" 152
"3.6" 153
"3.7" 150
"3.7" 151
"3.7" 152
"3.7" 153
"3.8" 150
"3.8" 151
"3.8" 152
"3.8" 153
"3" 200
"3" 201
"3" 202
"3.1" 200
"3.1" 201
"3.1" 202
"3.2" 200
"3.2" 201
"3.2" 202
"3.3" 200
"3.3" 201
"3.3" 202
"3.4" 200
"3.4" 201
"3.4" 202
"3.5" 200
"3.5" 201
"3.5" 202
"3.6" 200
"3.6" 201
"3.6" 202
"3.7" 200
"3.7" 201
"3.7" 202
"3.8" 200
"3.8" 201
"3.8" 202
"4" 11
"4.1" 11
"4.2" 11
"4.3" 11
"4.4" 11
"4.5" 11
"4.6" 11
"4.7" 11
"4" 20
"4.1" 20
"4.2" 20
"4.3" 20
"4.4" 20
"4.5" 20
"4.6" 20
"4.7" 20
"4" 30
"4.1" 30
"4.2" 30
"4.3" 30
"4.4" 30
"4.5" 30
"4.6" 30
"4.7" 30
"4" 40
"4.1" 40
"4.2" 40
"4.3" 40
"4.4" 40
"4.5" 40
"4.6" 40
"4.7" 40
"4" 110
"4.1" 110
"4.2" 110
"4.3" 110
"4.4" 110
"4.5" 110
"4.6" 110
"4.7" 110
"4" 130
"4.1" 130
"4.2" 130
"4.3" 130
"4.4" 130
"4.5" 130
"4.6" 130
"4.7" 130
"4" 140
"4.1" 140
"4.2" 140
"4.3" 140
"4.4" 140
"4.5" 140
"4.6" 140
"4.7" 140
"4" 150
"4" 151
"4" 152
"4" 153
"4.1" 150
"4.1" 151
"4.1" 152
"4.1" 153
"4.2" 150
"4.2" 151
"4.2" 152
"4.2" 153
"4.3" 150
"4.3" 151
"4.3" 152
"4.3" 153
"4.4" 150
"4.4" 151
"4.4" 152
"4.4" 153
"4.5" 150
"4.5" 151
"4.5" 152
"4.5" 153
"4.6" 150
"4.6" 151
"4.6" 152
"4.6" 153
"4.7" 150
"4.7" 151
"4.7" 152
"4.7" 153
"5" 10
"5.1" 10
"5.2" 10
"5.3" 10
"5.4" 10
"5.5" 10
"5.6" 10
"5.7" 10
"5.8" 10
"5.9" 10
"5.10" 10
"5.11" 10
"5.12" 10
"5.13" 10
"5.14" 10
"5.15" 10
"5.16" 10
"5.17" 10
"5.18" 10
"5" 20
"5.1" 20
"5.2" 20
"5.3" 20
"5.4" 20
"5.5" 20
"5.6" 20
"5.7" 20
"5.8" 20
"5.9" 20
"5.10" 20
"5.11" 20
"5.12" 20
"5.13" 20
"5.14" 20
"5.15" 20
"5.16" 20
"5.17" 20
"5.18" 20
"5" 80
"5" 81
"5" 82
"5.1" 80
"5.1" 81
"5.1" 82
"5.2" 80
"5.2" 81
"5.2" 82
"5.3" 80
"5.3" 81
"5.3" 82
"5.4" 80
"5.4" 81
"5.4" 82
"5.5" 80
"5.5" 81
"5.5" 82
"5.6" 80
"5.6" 81
"5.6" 82
"5.7" 80
"5.7" 81
"5.7" 82
"5.8" 80
"5.8" 81
"5.8" 82
"5.9" 80
"5.9" 81
"5.9" 82
"5.10" 80
"5.10" 81
"5.10" 82
"5.11" 80
"5.11" 81
"5.11" 82
"5.12" 80
"5.12" 81
"5.12" 82
"5.13" 80
"5.13" 81
"5.13" 82
"5.14" 80
"5.14" 81
"5.14" 82
"5.15" 80
"5.15" 81
"5.15" 82
"5.16" 80
"5.16" 81
"5.16" 82
"5.17" 80
"5.17" 81
"5.17" 82
"5.18" 80
"5.18" 81
"5.18" 82
"5" 160
"5.1" 160
"5.2" 160
"5.3" 160
"5.4" 160
"5.5" 160
"5.6" 160
"5.7" 160
"5.8" 160
"5.9" 160
"5.10" 160
"5.11" 160
"5.12" 160
"5.13" 160
"5.14" 160
"5.15" 160
"5.16" 160
"5.17" 160
"5.18" 160
"5" 170
"5.1" 170
"5.2" 170
"5.3" 170
"5.4" 170
"5.5" 170
"5.6" 170
"5.7" 170
"5.8" 170
"5.9" 170
"5.10" 170
"5.11" 170
"5.12" 170
"5.13" 170
"5.14" 170
"5.15" 170
"5.16" 170
"5.17" 170
"5.18" 170
"5" 180
"5.1" 180
"5.2" 180
"5.3" 180
"5.4" 180
"5.5" 180
"5.6" 180
"5.7" 180
"5.8" 180
"5.9" 180
"5.10" 180
"5.11" 180
"5.12" 180
"5.13" 180
"5.14" 180
"5.15" 180
"5.16" 180
"5.17" 180
"5.18" 180
"5" 190
"5.1" 190
"5.2" 190
"5.3" 190
"5.4" 190
"5.5" 190
"5.6" 190
"5.7" 190
"5.8" 190
"5.9" 190
"5.10" 190
"5.11" 190
"5.12" 190
"5.13" 190
"5.14" 190
"5.15" 190
"5.16" 190
"5.17" 190
"5.18" 190
"5" 210
"5.1" 210
"5.2" 210
"5.3" 210
"5.4" 210
"5.5" 210
"5.6" 210
"5.7" 210
"5.8" 210
"5.9" 210
"5.10" 210
"5.11" 210
"5.12" 210
"5.13" 210
"5.14" 210
"5.15" 210
"5.16" 210
"5.17" 210
"5.18" 210
"6" 200
"6" 201
"6" 202
"8" 150
"8" 151
"8" 152
"8" 153
"8.1" 150
"8.1" 151
"8.1" 152
"8.1" 153
"8.2" 150
"8.2" 151
"8.2" 152
"8.2" 153
"8.3" 150
"8.3" 151
"8.3" 152
"8.3" 153
"8" 200
"8" 201
"8" 202
"8.1" 200
"8.1" 201
"8.1" 202
"8.2" 200
"8.2" 201
"8.2" 202
"8.3" 200
"8.3" 201
"8.3" 202
"14.1" 10
"14.2" 10
"14.1" 11
"14.2" 11
"14.1" 20
"14.2" 20
"14.1" 30
"14.2" 30
"14.1" 40
"14.2" 40
"14.1" 190
"14.2" 190
"14.3" 12
"14.6" 12
"14.4" 190
"14.5" 190
"15" 10
"15.1" 10
"15.2" 10
"15.3" 10
"15.4" 10
"15.5" 10
"15.6" 10
"15.7" 10
"15.8" 10
"15.9" 10
"15.10" 10
"15.11" 10
"15.12" 10
"15.13" 10
"15" 11
"15.1" 11
"15.2" 11
"15.3" 11
"15.4" 11
"15.5" 11
"15.6" 11
"15.7" 11
"15.8" 11
"15.9" 11
"15.10" 11
"15.11" 11
"15.12" 11
"15.13" 11
"15" 20
"15.1" 20
"15.2" 20
"15.3" 20
"15.4" 20
"15.5" 20
"15.6" 20
"15.7" 20
"15.8" 20
"15.9" 20
"15.10" 20
"15.11" 20
"15.12" 20
"15.13" 20
"15" 160
"15.1" 160
"15.2" 160
"15.3" 160
"15.4" 160
"15.5" 160
"15.6" 160
"15.7" 160
"15.8" 160
"15.9" 160
"15.10" 160
"15.11" 160
"15.12" 160
"15.13" 160
"15" 170
"15.1" 170
"15.2" 170
"15.3" 170
"15.4" 170
"15.5" 170
"15.6" 170
"15.7" 170
"15.8" 170
"15.9" 170
"15.10" 170
"15.11" 170
"15.12" 170
"15.13" 170
"15" 180
"15.1" 180
"15.2" 180
"15.3" 180
"15.4" 180
"15.5" 180
"15.6" 180
"15.7" 180
"15.8" 180
"15.9" 180
"15.10" 180
"15.11" 180
"15.12" 180
"15.13" 180
"15" 190
"15.1" 190
"15.2" 190
"15.3" 190
"15.4" 190
"15.5" 190
"15.6" 190
"15.7" 190
"15.8" 190
"15.9" 190
"15.10" 190
"15.11" 190
"15.12" 190
"15.13" 190
"15" 210
"15.1" 210
"15.2" 210
"15.3" 210
"15.4" 210
"15.5" 210
"15.6" 210
"15.7" 210
"15.8" 210
"15.9" 210
"15.10" 210
"15.11" 210
"15.12" 210
"15.13" 210
"16" 500
"17" 500
"18" 500
