"Species","Density","Source"
"Amblysomus corriae",1461.496,"Santini et al. (2022, GEB)"
"Amblysomus hottentotus",656.673,"Santini et al. (2022, GEB)"
"Amblysomus marleyi",378.084,"Santini et al. (2022, GEB)"
"Amblysomus robustus",577.805,"Santini et al. (2022, GEB)"
"Amblysomus septentrionalis",378.084,"Santini et al. (2022, GEB)"
"Calcochloris obtusirostris",900.17,"Santini et al. (2022, GEB)"
"Calcochloris tytonis",613.929,"Santini et al. (2022, GEB)"
"Carpitalpa arendsi",487.052,"Santini et al. (2022, GEB)"
"Chlorotalpa duthieae",1007.29,"Santini et al. (2022, GEB)"
"Chlorotalpa sclateri",881.916,"Santini et al. (2022, GEB)"
"Chrysochloris asiatica",398.161,"Santini et al. (2022, GEB)"
"Chrysochloris stuhlmanni",503.957,"Santini et al. (2022, GEB)"
"Chrysochloris visagiei",1172.968,"Santini et al. (2022, GEB)"
"Chrysospalax trevelyani",128.575,"Santini et al. (2022, GEB)"
"Chrysospalax villosus",310.757,"Santini et al. (2022, GEB)"
"Cryptochloris wintoni",820.331,"Santini et al. (2022, GEB)"
"Cryptochloris zyli",443.567,"Santini et al. (2022, GEB)"
"Eremitalpa granti",1163.464,"Santini et al. (2022, GEB)"
"Neamblysomus gunningi",749.176,"Santini et al. (2022, GEB)"
"Neamblysomus julianae",1148.886,"Santini et al. (2022, GEB)"
"Echinops telfairi",43.603,"Santini et al. (2022, GEB)"
"Geogale aurita",233.581,"Santini et al. (2022, GEB)"
"Hemicentetes nigriceps",35.506,"Santini et al. (2022, GEB)"
"Hemicentetes semispinosus",23.494,"Santini et al. (2022, GEB)"
"Limnogale mergulus",48.745,"Santini et al. (2022, GEB)"
"Microgale brevicaudata",149.017,"Santini et al. (2022, GEB)"
"Microgale cowani",118.029,"Santini et al. (2022, GEB)"
"Microgale dobsoni",65.406,"Santini et al. (2022, GEB)"
"Microgale drouhardi",223.32,"Santini et al. (2022, GEB)"
"Microgale dryas",58.716,"Santini et al. (2022, GEB)"
"Microgale fotsifotsy",178.266,"Santini et al. (2022, GEB)"
"Microgale gracilis",135.159,"Santini et al. (2022, GEB)"
"Microgale gymnorhyncha",160.593,"Santini et al. (2022, GEB)"
"Microgale longicaudata",171.928,"Santini et al. (2022, GEB)"
"Microgale monticola",155.107,"Santini et al. (2022, GEB)"
"Microgale nasoloi",215.586,"Santini et al. (2022, GEB)"
"Microgale parvula",447.357,"Santini et al. (2022, GEB)"
"Microgale principula",214.76,"Santini et al. (2022, GEB)"
"Microgale pusilla",526.327,"Santini et al. (2022, GEB)"
"Microgale soricoides",149.234,"Santini et al. (2022, GEB)"
"Microgale taiva",133.911,"Santini et al. (2022, GEB)"
"Microgale talazaci",71.481,"Santini et al. (2022, GEB)"
"Microgale thomasi",101.898,"Santini et al. (2022, GEB)"
"Micropotamogale lamottei",27.867,"Santini et al. (2022, GEB)"
"Micropotamogale ruwenzorii",24.348,"Santini et al. (2022, GEB)"
"Oryzorictes hova",62.707,"Santini et al. (2022, GEB)"
"Oryzorictes tetradactylus",67.991,"Santini et al. (2022, GEB)"
"Potamogale velox",5.352,"Santini et al. (2022, GEB)"
"Setifer setosus",11.254,"Santini et al. (2022, GEB)"
"Tenrec ecaudatus",9.52,"Santini et al. (2022, GEB)"
"Ailurus fulgens",5.388,"Santini et al. (2022, GEB)"
"Pseudois nayaur",1.316,"Santini et al. (2022, GEB)"
"Atelocynus microtis",0.587,"Santini et al. (2022, GEB)"
"Canis adustus",0.065,"Santini et al. (2022, GEB)"
"Canis aureus",0.278,"Santini et al. (2022, GEB)"
"Canis latrans",0.272,"Santini et al. (2022, GEB)"
"Canis lupus",0.022,"Santini et al. (2022, GEB)"
"Canis mesomelas",0.813,"Santini et al. (2022, GEB)"
"Canis simensis",0.09,"Santini et al. (2022, GEB)"
"Cerdocyon thous",1.41,"Santini et al. (2022, GEB)"
"Chrysocyon brachyurus",0.323,"Santini et al. (2022, GEB)"
"Cuon alpinus",0.231,"Santini et al. (2022, GEB)"
"Dusicyon australis",0.027,"Santini et al. (2022, GEB)"
"Lycalopex culpaeus",0.465,"Santini et al. (2022, GEB)"
"Lycalopex fulvipes",0.542,"Santini et al. (2022, GEB)"
"Lycalopex griseus",1.178,"Santini et al. (2022, GEB)"
"Lycalopex gymnocercus",1.608,"Santini et al. (2022, GEB)"
"Lycalopex sechurae",1.702,"Santini et al. (2022, GEB)"
"Lycalopex vetulus",1.111,"Santini et al. (2022, GEB)"
"Lycaon pictus",0.038,"Santini et al. (2022, GEB)"
"Nyctereutes procyonoides",2.548,"Santini et al. (2022, GEB)"
"Otocyon megalotis",0.732,"Santini et al. (2022, GEB)"
"Speothos venaticus",0.121,"Santini et al. (2022, GEB)"
"Urocyon cinereoargenteus",4.481,"Santini et al. (2022, GEB)"
"Urocyon littoralis",1.597,"Santini et al. (2022, GEB)"
"Vulpes bengalensis",1.961,"Santini et al. (2022, GEB)"
"Vulpes cana",11.337,"Santini et al. (2022, GEB)"
"Vulpes chama",1.528,"Santini et al. (2022, GEB)"
"Vulpes corsac",1.726,"Santini et al. (2022, GEB)"
"Vulpes ferrilata",0.138,"Santini et al. (2022, GEB)"
"Vulpes macrotis",0.947,"Santini et al. (2022, GEB)"
"Vulpes pallida",1.335,"Santini et al. (2022, GEB)"
"Vulpes rueppellii",1.303,"Santini et al. (2022, GEB)"
"Vulpes velox",0.992,"Santini et al. (2022, GEB)"
"Vulpes vulpes",0.369,"Santini et al. (2022, GEB)"
"Vulpes zerda",4.527,"Santini et al. (2022, GEB)"
"Cryptoprocta ferox",0.197,"Santini et al. (2022, GEB)"
"Eupleres goudotii",1.479,"Santini et al. (2022, GEB)"
"Fossa fossana",2.586,"Santini et al. (2022, GEB)"
"Galidia elegans",3.065,"Santini et al. (2022, GEB)"
"Galidictis fasciata",4.209,"Santini et al. (2022, GEB)"
"Galidictis grandidieri",2.803,"Santini et al. (2022, GEB)"
