"internal_taxon_name","GL_estimate","Source"
"Elephantulus myurus",0.6,"Pacifici et al. (2013, NatCons)"
"Phodopus campbelli",0.7,"Pacifici et al. (2013, NatCons)"
"Reithrodontomys humulis",0.8,"Pacifici et al. (2013, NatCons)"
"Sorex coronatus",1,"Pacifici et al. (2013, NatCons)"
"Sminthopsis murina",1,"Pacifici et al. (2013, NatCons)"
"Galea musteloides",1.1,"Pacifici et al. (2013, NatCons)"
"Hemicentetes nigriceps",1.1,"Pacifici et al. (2013, NatCons)"
"Hemicentetes semispinosus",1.1,"Pacifici et al. (2013, NatCons)"
"Didelphis albiventris",1.1,"Pacifici et al. (2013, NatCons)"
"Peroryctes raffrayana",1.2,"Pacifici et al. (2013, NatCons)"
"Ningaui ridei",1.3,"Pacifici et al. (2013, NatCons)"
"Ochotona pusilla",1.3,"Pacifici et al. (2013, NatCons)"
"Microtus guentheri",1.3,"Pacifici et al. (2013, NatCons)"
"Antechinus minimus",1.4,"Pacifici et al. (2013, NatCons)"
"Pseudantechinus ningbing",1.4,"Pacifici et al. (2013, NatCons)"
"Antechinus leo",1.5,"Pacifici et al. (2013, NatCons)"
"Antechinus swainsonii",1.5,"Pacifici et al. (2013, NatCons)"
"Phodopus roborovskii",1.5,"Pacifici et al. (2013, NatCons)"
"Marmosa robinsoni",1.6,"Pacifici et al. (2013, NatCons)"
"Sminthopsis virginiae",1.6,"Pacifici et al. (2013, NatCons)"
"Sminthopsis ooldea",1.6,"Pacifici et al. (2013, NatCons)"
"Dasykaluta rosamondae",1.7,"Pacifici et al. (2013, NatCons)"
"Galea spixii",1.7,"Pacifici et al. (2013, NatCons)"
"Ochotona alpina",1.7,"Pacifici et al. (2013, NatCons)"
"Sminthopsis macroura",1.7,"Pacifici et al. (2013, NatCons)"
"Planigale tenuirostris",1.8,"Pacifici et al. (2013, NatCons)"
"Antechinus flavipes",1.8,"Pacifici et al. (2013, NatCons)"
"Gerbilliscus afra",1.9,"Pacifici et al. (2013, NatCons)"
"Antechinus stuartii",2,"Pacifici et al. (2013, NatCons)"
"Galemys pyrenaicus",2,"Pacifici et al. (2013, NatCons)"
"Planigale gilesi",2,"Pacifici et al. (2013, NatCons)"
"Cavia aperea",2.1,"Pacifici et al. (2013, NatCons)"
"Planigale maculata",2.1,"Pacifici et al. (2013, NatCons)"
"Antechinus agilis",2.2,"Pacifici et al. (2013, NatCons)"
"Myotis nigricans",2.2,"Pacifici et al. (2013, NatCons)"
"Ctenodactylus gundi",2.3,"Pacifici et al. (2013, NatCons)"
"Podomys floridanus",2.3,"Pacifici et al. (2013, NatCons)"
"Pseudantechinus macdonnellensis",2.3,"Pacifici et al. (2013, NatCons)"
"Ctenodactylus vali",2.3,"Pacifici et al. (2013, NatCons)"
"Rhynchocyon chrysopygus",2.3,"Pacifici et al. (2013, NatCons)"
"Ochotona cansus",2.3,"Pacifici et al. (2013, NatCons)"
"Ammospermophilus nelsoni",2.4,"Pacifici et al. (2013, NatCons)"
"Sylvilagus nuttallii",2.4,"Pacifici et al. (2013, NatCons)"
"Caluromys derbianus",2.5,"Pacifici et al. (2013, NatCons)"
"Sylvilagus audubonii",2.5,"Pacifici et al. (2013, NatCons)"
"Spermophilus citellus",2.6,"Pacifici et al. (2013, NatCons)"
"Thrichomys apereoides",2.6,"Pacifici et al. (2013, NatCons)"
"Georychus capensis",2.6,"Pacifici et al. (2013, NatCons)"
"Sylvilagus palustris",2.7,"Pacifici et al. (2013, NatCons)"
"Mustela frenata",2.7,"Pacifici et al. (2013, NatCons)"
"Macroscelides proboscideus",2.7,"Pacifici et al. (2013, NatCons)"
"Eliomys quercinus",2.8,"Pacifici et al. (2013, NatCons)"
"Tenrec ecaudatus",2.8,"Pacifici et al. (2013, NatCons)"
"Ochotona princeps",2.9,"Pacifici et al. (2013, NatCons)"
"Lepus arcticus",2.9,"Pacifici et al. (2013, NatCons)"
"Dipodomys spectabilis",3,"Pacifici et al. (2013, NatCons)"
"Lepus townsendii",3,"Pacifici et al. (2013, NatCons)"
"Lagorchestes conspicillatus",3,"Pacifici et al. (2013, NatCons)"
"Sylvilagus floridanus",3,"Pacifici et al. (2013, NatCons)"
"Geocapromys ingrahami",3.2,"Pacifici et al. (2013, NatCons)"
"Microgale dobsoni",3.2,"Pacifici et al. (2013, NatCons)"
"Conepatus leuconotus",3.2,"Pacifici et al. (2013, NatCons)"
"Elephantulus intufi",3.3,"Pacifici et al. (2013, NatCons)"
"Lepus californicus",3.4,"Pacifici et al. (2013, NatCons)"
"Galictis cuja",3.5,"Pacifici et al. (2013, NatCons)"
"Cynopterus brachyotis",3.5,"Pacifici et al. (2013, NatCons)"
"Corynorhinus rafinesquii",3.5,"Pacifici et al. (2013, NatCons)"
"Spilogale gracilis",3.5,"Pacifici et al. (2013, NatCons)"
"Conepatus humboldtii",3.6,"Pacifici et al. (2013, NatCons)"
"Conepatus chinga",3.6,"Pacifici et al. (2013, NatCons)"
"Vulpes bengalensis",3.6,"Pacifici et al. (2013, NatCons)"
"Thylogale stigmatica",3.7,"Pacifici et al. (2013, NatCons)"
"Vulpes chama",3.7,"Pacifici et al. (2013, NatCons)"
"Pudu mephistophiles",3.8,"Pacifici et al. (2013, NatCons)"
"Leopardus jacobita",3.8,"Pacifici et al. (2013, NatCons)"
"Vulpes cana",3.8,"Pacifici et al. (2013, NatCons)"
