IUCN_code,Stack_Name,Value,Codes
1-1.9,C7_TreeBEC,12.230,;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9; 
1-1.9,C8_TreeBDC,2.016,;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9; 
1-1.9,C9_TreeNEC,3.695,;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9; 
1-1.9,C11_TreeMix,5.990,;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9; 
1-1.9,C18_TreeBrakish,1.824,;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9; 
14.1-14.2,C2_CroplandRainfedHerb,1.922,;14.1;14.2; 
14.1-14.2,C4_CropIrr,1.763,;14.1;14.2; 
14.1-14.2,C21_Urb,1.755,;14.1;14.2; 
14.4-14.5,C21_Urb,3.582,;14.4;14.5; 
15-15.13,C4_CropIrr,1.708,;15;15.1;15.2;15.3;15.4;15.5;15.6;15.7;15.8;15.9;15.10;15.11;15.12;15.13; 
15-15.13,C18_TreeBrakish,2.109,;15;15.1;15.2;15.3;15.4;15.5;15.6;15.7;15.8;15.9;15.10;15.11;15.12;15.13; 
15-15.13,C19_TreeSaline,1.733,;15;15.1;15.2;15.3;15.4;15.5;15.6;15.7;15.8;15.9;15.10;15.11;15.12;15.13; 
15-15.13,C20_ShrubFlooded,1.990,;15;15.1;15.2;15.3;15.4;15.5;15.6;15.7;15.8;15.9;15.10;15.11;15.12;15.13; 
15-15.13,C21_Urb,1.718,;15;15.1;15.2;15.3;15.4;15.5;15.6;15.7;15.8;15.9;15.10;15.11;15.12;15.13; 
15-15.13,C23_Water,1.939,;15;15.1;15.2;15.3;15.4;15.5;15.6;15.7;15.8;15.9;15.10;15.11;15.12;15.13; 
2-2.2,C14_Shrub,1.758,;2;2.1;2.2; 
3-3.8,C14_Shrub,2.133,;3;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8; 
3-3.8,C17_Sparse,2.073,;3;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8; 
3-3.8,C22_Bare,2.147,;3;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8; 
4-4.7,C15_Grass,2.132,;4;4.1;4.2;4.3;4.4;4.5;4.6;4.7; 
4-4.7,C16_Lichen,19.148,;4;4.1;4.2;4.3;4.4;4.5;4.6;4.7; 
4-4.7,C17_Sparse,2.205,;4;4.1;4.2;4.3;4.4;4.5;4.6;4.7; 
5-5.18,C4_CropIrr,1.996,;5;5.1;5.2;5.3;5.4;5.5;5.6;5.7;5.8;5.9;5.10;5.11;5.12;5.13;5.14;5.15;5.16;5.17;5.18; 
5-5.18,C10_TreeNDC,1.960,;5;5.1;5.2;5.3;5.4;5.5;5.6;5.7;5.8;5.9;5.10;5.11;5.12;5.13;5.14;5.15;5.16;5.17;5.18; 
5-5.18,C18_TreeBrakish,2.793,;5;5.1;5.2;5.3;5.4;5.5;5.6;5.7;5.8;5.9;5.10;5.11;5.12;5.13;5.14;5.15;5.16;5.17;5.18; 
5-5.18,C19_TreeSaline,2.021,;5;5.1;5.2;5.3;5.4;5.5;5.6;5.7;5.8;5.9;5.10;5.11;5.12;5.13;5.14;5.15;5.16;5.17;5.18; 
5-5.18,C20_ShrubFlooded,2.585,;5;5.1;5.2;5.3;5.4;5.5;5.6;5.7;5.8;5.9;5.10;5.11;5.12;5.13;5.14;5.15;5.16;5.17;5.18; 
5-5.18,C23_Water,2.167,;5;5.1;5.2;5.3;5.4;5.5;5.6;5.7;5.8;5.9;5.10;5.11;5.12;5.13;5.14;5.15;5.16;5.17;5.18; 
6-6.0,C9_TreeNEC,2.011,;6;6.0; 
6-6.0,C15_Grass,1.928,;6;6.0; 
6-6.0,C17_Sparse,1.770,;6;6.0; 
6-6.0,C22_Bare,2.717,;6;6.0; 
8-8.3,C17_Sparse,3.919,;8;8.0;8.1;8.2;8.3; 
8-8.3,C22_Bare,5.375,;8;8.0;8.1;8.2;8.3; 
