Species,Date,Parameter,Count,Definition,Value
NA,NA,Distribution_Source,0,"Source of the distribution map. Could be either ""Red List"" (if the last range map published in the Red List has been used), ""Uploaded"" (if the range map was uploaded on the platform), “StoredOnPlatform” (if you used a distribution that was previously createdfrom occurrence records on the platform), or ""Created"" (if you created a range map from occurrence data)",NA
NA,NA,Gbif_Source,0,"Source of occurrence data used to create a range map. Could include ""GBIF"" (automatic download from GBIF website), ""OBIS"" (automatic download from OBIS website), ""Red List"" (use of Red List occurrence points), ""Uploaded"" (upload of your own records)",NA
NA,NA,Gbif_Synonyms,0,Species synonyms used to gather occurrence records.,NA
NA,NA,Gbif_Year,0,Minimum year of observations. All observations made before this date have been removed from the occurrences,NA
NA,NA,Gbif_Uncertainty,0,Maximum coordinate uncertainty. All observations with higher localisation uncertainty than this value (in km) will be removed. Only applies to GBIF / OBIS data,NA
NA,NA,Gbif_Sea,0,Selection of land / sea data. 'excludesea'= Occurrence records made at sea were excluded (Terrestrial species) - 'excludeland'= Occurence records made at land were excluded (Marine species),NA
NA,NA,Gbif_Extent,0,"Filtering for a geographic extent. Removes observations outside these coordinates (min longitude, max longitude, min latitude, max latitude)",NA
NA,NA,Gbif_automatedBin,0,"Whether automated filtering (for capitals, zero coordinates, institutions, etc) was run or not",NA
NA,NA,Gbif_yearBin,0,Exclude records with no year information (if equals “TRUE” this means that records with missing information were removed),NA
NA,NA,Gbif_uncertainBin,0,Exclude records with no coordinate uncertainty information (if equals “TRUE” this means that records with missing information were removed),NA
NA,NA,Mapping_Start,0,First step of the mapping procedure to create a range map. 'mcp'= Minimum Convex Polygon around occurence records - 'alpha'= Alphahull around occurrence records - 'kernel'= Kernel distribution – ‘indivsites’= Individual sites - 'hydroX'=Hydrobasins of level X with occurrence records - 'hydroMCP= Hydrobasins overlapping with the Minimum Convex Polygon around occurrence records,NA
NA,NA,Mapping_Buffer,0,A buffer of X km has been made around the first range,NA
NA,NA,Mapping_Crop,0,Has the range been cropped to keep only land or sea. cropland= Only land was kept (sea areas excluded) - cropsea= only sea was kept (land areas excluded),NA
NA,NA,Mapping_Altitude,0,Minimum and maximum elevation allowed in the range,NA
NA,NA,Mapping_Merge,0,Merge with published range map (if “TRUE” it means that the distribution created from occurrence records has been merged with the published range map),NA
NA,NA,Mapping_Smooth,0,Smoothing parameter of the obtained range,NA
NA,NA,Kernel_parameter,0,Value of the kernel parameter (only important if Kernel has been chosen as the method to map distribution with the Mapping_Start parameter,NA
NA,NA,Alpha_parameter,0,Value of the Alphahull parameter (only important if Alphahull has been chosen as the method to map distribution with the Mapping_Start parameter,NA
NA,NA,Distribution_Presence,0,Presence parameters filtered in the Red List or uploaded distribution,NA
NA,NA,Distribution_Origin,0,Origin parameters filtered in the Red List or uploaded distribution,NA
NA,NA,Distribution_Seasonal,0,Seasonal parameters filtered in the Red List or uploaded distribution,NA
NA,NA,Crop_Country,0,Country used to restrict species' distribution in case of National (or European) Red Listing,NA
NA,NA,System_pref,0,"System preferences selected for the species. Could include terrestrial, freshwater, marine",NA
NA,NA,AOH_HabitatPreference,0,Habitat preference used to calculate Area of Habitat,NA
