"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
4277294,51302880,"Acanthagrion quadratum",1,1,1,"OdonataCentral",2018,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,1993,"Odonata Central","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Acanthagrion","LC",29.57888,-100.99069
4277295,51302880,"Acanthagrion quadratum",1,1,1,"OdonataCentral",2018,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,2004,"Odonata Central","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Acanthagrion","LC",27.46484,-97.85484
4277296,51302880,"Acanthagrion quadratum",1,1,1,"OdonataCentral",2018,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,2004,"Odonata Central","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Acanthagrion","LC",27.4875,-98.0387
4277297,51302880,"Acanthagrion quadratum",1,1,1,"OdonataCentral",2018,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,2003,"Odonata Central","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Acanthagrion","LC",27.4875,-98.039
4277298,51302880,"Acanthagrion quadratum",1,1,1,"OdonataCentral",2018,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,2007,"Odonata Central","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Acanthagrion","LC",28.29633,-97.27999
4277299,51302880,"Acanthagrion quadratum",1,1,1,"OdonataCentral",2018,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,2008,"Odonata Central","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Acanthagrion","LC",27.51439,-97.8343
4277300,51302880,"Acanthagrion quadratum",1,1,1,"OdonataCentral",2018,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,2008,"Odonata Central","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Acanthagrion","LC",29.20986,-99.77869
4277301,51302880,"Acanthagrion quadratum",1,1,1,"OdonataCentral",2018,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,2008,"Odonata Central","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Acanthagrion","LC",29.39859,-99.99975
4277302,51302880,"Acanthagrion quadratum",1,1,1,"OdonataCentral",2018,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,2009,"Odonata Central","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Acanthagrion","LC",27.79026,-98.06087
4277303,51302880,"Acanthagrion quadratum",1,1,1,"OdonataCentral",2018,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,2009,"Odonata Central","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Acanthagrion","LC",29.28503,-100.42261
4277304,51302880,"Acanthagrion quadratum",1,1,1,"OdonataCentral",2018,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,2009,"Odonata Central","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Acanthagrion","LC",29.39773,-100.00134
