"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
2266511,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2011,"","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-12.571328,30.242821
2266512,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2010,"","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.738417,24.63878
2266513,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2011,"database Nicolas Mézière, 09/2012","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.1157,13.88028
2266514,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2009,"database Nicolas Mézière, 09/2012","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.63722,14.29675
2266515,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2014,"Zambia Tour, Jens Kipping 2014","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-8.694969,31.301353
2266516,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1967,"Pinhey 1984 a","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-9.28333,30.16667
2266517,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2011,"fieldtrip K.-D.B. Dijkstra","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-8.937,27.166
2266518,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2002,"Williams, C., Enreca Database","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",1.7337,31.55905
2266519,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2011,"fieldtrip K.-D.B. Dijkstra","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-8.77,26.84
2266520,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1966,"Pinhey (1966)","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.778,34.21
2266521,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1966,"Pinhey (1972)","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.778,34.21
2266522,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1991,"Legrand (2003)","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",7.712222,-8.33
2266523,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1950,"records_MRAC090216.xls","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",4,29.5
2266524,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1953,"Fraser, FC., 1955","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",7.256944,-8.156944
2266525,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1953,"museum collection","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",7.256944,-8.156944
2266526,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1980,"Carletti 1997 (thesis)","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-3.1,12.386389
2266527,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2012,"various sources, submitted as addition 2014 by KD Dijkstra","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",7.55866,-8.65653
2266528,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1980,"Carletti 1997 (thesis)","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-2.55,13.569722
2266529,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2008,"Cameroon Expedition Dijkstra, Kipping, Schuette 2008","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",2.39297,10.06753
2266530,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1962,"BMNH London visit, J. Kipping, March 2013","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",5.96152,8.70737
2266531,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2011,"fieldtrip K.-D.B. Dijkstra","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-8.91,27.18
2266532,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2008,"Cameroon Expedition Dijkstra, Kipping, Schuette 2008","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",2.3915,10.073
2266533,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2010,"database Nicolas Mézière, 09/2012","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.57112,13.16478
2266534,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2009,"database Nicolas Mézière, 09/2012","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.59724,13.155
2266535,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1975,"museum collection","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",0.3374,12.60015
2266536,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1986,"museum collection","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-2.150457,12.050267
2266537,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2002,"Williams, C., Enreca Database","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",2.189942,31.716
2266538,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2010,"K.-D.B. Dijkstra consultancy","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",7.44722,-8.70395
2266539,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2011,"various sources, submitted as addition 2014 by KD Dijkstra","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",7.45979,-8.66643
2266540,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1986,"museum collection","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",0.33,9.54
2266541,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2014,"Zambia Tour, Jens Kipping 2014","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-12.367605,27.483109
2266542,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2010,"K.-D.B. Dijkstra consultancy","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",7.546,-8.561
2266543,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1960,"Pinhey 1984 a","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.245,24.279
2266544,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2010,"various sources, submitted as addition 2014 by KD Dijkstra","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",7.44336,-8.64247
2266545,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2010,"K.-D.B. Dijkstra consultancy","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",7.44336,-8.64247
2266546,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1979,"Legrand (1982)","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",6.223489,-5.026612
2266547,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1962,"records_MRAC090216.xls","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.75,27.5667
2266548,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2010,"database Nicolas Mézière, 09/2012","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.54626,13.13979
2266549,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2012,"database Nicolas Mézière, 09/2012","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.6845,13.30881
2266550,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2010,"database Nicolas Mézière, 09/2012","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.77781,13.63415
2266551,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1965,"Legrand (1982)","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",6.223489,-5.026612
2266552,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2013,"database N. Meziere, submitted 03_2014","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.60681,13.91366
2266553,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1962,"Pinhey (1967 b)","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.75,27.67
2266554,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2008,"Cameroon Expedition Dijkstra, Kipping, Schuette 2008","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",3.74561,12.24812
2266555,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2008,"Clausnitzer, H.-J., pers.com.","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",1.431499,32.0649
2266556,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1987,"Lempert, J. , 1988","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",5.366667,-8.85
2266557,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1991,"Legrand (2003)","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",7.589722,-8.382778
2266558,59779,"Aciagrion africanum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2011,"various sources, submitted as addition 2014 by KD Dijkstra","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",7.44336,-8.64247
