"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
4258793,184190,"Aciagrion brosseti",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1972,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",0.59921,12.665783
4258794,184190,"Aciagrion brosseti",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1972,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",0.606072,12.596644
4258795,184190,"Aciagrion brosseti",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1980,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-2.32358,14.59831
4258796,184190,"Aciagrion brosseti",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2009,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.60056,13.15549
4258797,184190,"Aciagrion brosseti",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2009,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.58469,14.24497
4258798,184190,"Aciagrion brosseti",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2009,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.57525,14.20135
4258799,184190,"Aciagrion brosseti",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2008,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.4638,13.19866667
4258801,184190,"Aciagrion brosseti",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2010,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.7836,12.9807
4258802,184190,"Aciagrion brosseti",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2010,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.73193,14.3323
4258803,184190,"Aciagrion brosseti",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2010,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.68075,14.38354
