"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
135384,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1934,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",1.6636,31.5263
135385,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1960,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-19.55,34.66667
135386,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1961,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-22.28333,31.33333
135387,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1961,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-21.7,31.35
135388,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1963,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-19.6184,34.7552
135389,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1963,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-19.55,34.66667
135390,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1967,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-19.6184,34.7552
135391,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1967,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-18.7,35.9
135392,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1969,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-19.55,34.66667
135393,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2001,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-28.13333333,32.53333333
135394,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2001,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-28.1316,32.542944
135395,49416876,"Aciagrion dondoense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2001,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-4.93794444,39.71072222
