"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
3088511,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2004,"","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-17.49591,24.3343
3088512,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1955,"Pinhey 1984 a","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-15.96667,25.96667
3088513,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2011,"","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-13.684324,29.1612
3088514,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1960,"Pinhey 1984 a","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-13.301563,28.686933
3088515,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1951,"records_MRAC090216.xls","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.6667,27.4667
3088516,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1951,"records_MRAC090216.xls","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.654951,27.287141
3088517,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2016,"fieldtrip Clausnitzer & Dijkstra","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.9141,30.70773
3088518,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1963,"Pinhey 1984 a","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-12.16,25.45
3088519,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2010,"Record Kipping","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-17.8584,25.51944
3088520,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,2014,"Zambia Tour, Jens Kipping 2014","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-12.367605,27.483109
3088521,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1951,"records_MRAC090216.xls","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.691372,27.456154
3088522,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1951,"museum collection","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.691372,27.456154
3088523,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1965,"Pinhey 1984 a","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-13.301563,28.686933
3088524,59783,"Aciagrion heterostictum",1,1,1,"IUCN Freshwater Biodiversity Unit",2016,"Odonata Database of Africa (ODA)"," ",NA,1962,"Pinhey (1967 b)","",NA," ","","Previously Aciagrion heterosticta","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.691372,27.456154
