"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
4091234,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,2011,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-8.933,27.199
4091235,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,2012,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-7.77378,15.29677
4091236,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,2014,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.362,24.319
4091237,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,2014,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.243718,24.312674
4091238,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,1960,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.245,24.279
4091239,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,1962,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.245,24.279
4091240,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,1963,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.203,24.043
4091241,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,1963,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.08333,24.15
4091242,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,1965,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.245,24.279
4091243,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,1969,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-10.178036,31.232938
4091244,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,1972,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-10.9,24.11667
4091246,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,2010,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-1.60681,13.91366
4091247,168009,"Aciagrion nodosum",1,1,1,"Odonata Database of Africa",2018,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling (2012). Focus on African Freshwaters: hotspots of dragonfly diversity and conservation concern. Frontiers in Ecology"," ",NA,2011,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA," ","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-10.58,27.83
