"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
3845777,59784,"Aciagrion steeleae",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2014,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-8.831119,35.46627
4177102,59784,"Aciagrion steeleae",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1946,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-10.905967,35.4224
4177103,59784,"Aciagrion steeleae",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1951,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-8.83458,35.70459
4177104,59784,"Aciagrion steeleae",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1954,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-8.83458,35.43388
4177105,59784,"Aciagrion steeleae",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1958,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-8.8333,35.28
4177106,59784,"Aciagrion steeleae",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1960,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.245,35.52
4177107,59784,"Aciagrion steeleae",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1960,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-8.83458,35.26952
4177108,59784,"Aciagrion steeleae",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1962,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.254597,35.415
4177109,59784,"Aciagrion steeleae",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1962,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-11.194847,35.47057
4177110,59784,"Aciagrion steeleae",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1963,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",-19.22,35.46949
