"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
3200022,139356999,"Acrogomphus jubilaris",6,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,0,"Hämäläinen & Muller 1997","PreservedSpecimen",NA,"General coordinates for Samar","","","Presence Uncertain","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",12,125
3200024,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2014,"Steinhoff 2015","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",4.0423,114.87108
3200025,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2014,"Steinhoff 2015","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",4.04055,114.87108
3200026,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2014,"Steinhoff 2015","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",4.02973,114.83552
3200027,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2014,"Steinhoff 2015","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",4.0235,114.81985
3200028,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2008,"Dow et al 2018b","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",3.3473,113.1556
3200029,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2008,"Dow et al 2018b","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",3.1116,113.6613
3200030,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2014,"Dow et al 2018b","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",2.9966,113.0128
3200032,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2014,"Dow et al 2018b","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",2.9123,113.2491
3200033,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2008,"Dow et al 2018b","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",2.8262,113.2073
3200034,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2010,"Dow et al 2015a","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",2.06478,113.67565
3200035,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2013,"Dow & Ngiam 2014","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",2.012,114.672
3200036,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2012,"Dow 2012a","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",1.72225,109.69052
3200038,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2016,"Dow et al 2018a","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",1.6572,112.2432
3200039,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2016,"Dow et al 2018a","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",1.6547,112.2285
3200040,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2016,"Dow et al 2018a","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",1.638,112.2216
3200041,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2016,"Dow et al 2018a","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",1.6294,112.2199
3200043,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2009,"Dow, Reels & Butler 2013","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",1.612533,110.19663
3200044,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2008,"Dow, Reels & Butler 2013","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",1.60888,110.16077
3200045,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,2012,"Dow 2012b","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",1.11905,110.22793
3200046,139356999,"Acrogomphus jubilaris",1,1,1,"R.A. Dow",2018,"R.A. Dow"," ",NA,1956,"Lieftinck 1964-234","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","LC",0.5667,116.0333
