"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
4166143,163808,"Acrogomphus malayanus",1,1,1,"R.A. Dow",2019,"R.A. Dow"," ",NA,2002,"Butler & Kohler 2013","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","NT",6.40209,99.81971
4166144,163808,"Acrogomphus malayanus",1,1,1,"R.A. Dow",2019,"R.A. Dow"," ",NA,2002,"Butler & Kohler 2013","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","NT",6.369,99.819
4166145,163808,"Acrogomphus malayanus",1,1,1,"R.A. Dow",2019,"R.A. Dow"," ",NA,2002,"Butler & Kohler 2013","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","NT",6.36393,99.78832
4166146,163808,"Acrogomphus malayanus",1,1,1,"R.A. Dow",2019,"R.A. Dow"," ",NA,2002,"Butler & Kohler 2013","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","NT",6.361152,99.79268
4166147,163808,"Acrogomphus malayanus",1,1,1,"R.A. Dow",2019,"R.A. Dow"," ",NA,1933,"Lieftinck 1941","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","NT",4.95587,101.12242
4166148,163808,"Acrogomphus malayanus",1,1,1,"R.A. Dow",2019,"R.A. Dow"," ",NA,2008,"Ng, Dow & Choong 2011","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","NT",4.613,101.404
4166149,163808,"Acrogomphus malayanus",1,1,1,"R.A. Dow",2019,"R.A. Dow"," ",NA,0,"Farizawati et al 2014","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","NT",4.2319,100.5517
4166151,163808,"Acrogomphus malayanus",1,1,1,"R.A. Dow",2019,"R.A. Dow"," ",NA,1912,"Laidlaw 1925","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","NT",2.4481,104.5042
4166152,163808,"Acrogomphus malayanus",1,1,1,"R.A. Dow",2019,"R.A. Dow"," ",NA,1994,"Norma-Rashid et al 1996","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","NT",2.374167,102.607778
4166153,163808,"Acrogomphus malayanus",1,1,1,"R.A. Dow",2019,"R.A. Dow"," ",NA,0,"Farizawati et al 2014","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","NT",2.1106,102.3269
4166154,163808,"Acrogomphus malayanus",1,1,1,"R.A. Dow",2019,"R.A. Dow"," ",NA,2006,"Choong 2008","PreservedSpecimen",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","Acrogomphus","NT",1.823,103.879
