"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
4194624,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,1900,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-37.7,144.4
3858556,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,2006,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-33.79206,149.24865
4194099,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,1972,"Thomas W. Donnelly","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-35.3671,148.9539
4194100,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,1998,"Paulson DR & Smith N","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-27.5,153.433333
4194101,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,2008,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-30.600483,151.799083
4194102,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,2016,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-31.348556,115.904361
4194103,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,2016,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-31.775444,115.799472
4194104,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,2016,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-31.851444,116.250806
4194105,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,2016,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-32.636083,116.135833
4194106,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,1998,"Paulson DR","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-33.633333,150.316667
4194107,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,1998,"Paulson DR & Smith N","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-33.65,150.1
4194108,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,2011,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-33.66335,151.248967
4194109,197095,"Adversaeschna brevistyla",1,1,1,"I. Endersby",2019,"IUCN SSC Odonata Specialist Group","brevistyla",NA,2006,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Adversaeschna","LC",-33.8113,148.83704
