"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
1328724,50959132,"Aeshna interrupta",1,1,1,"OdonataCentral",2017,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,2004,"Odonata Central","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Aeshna","LC",48.39319992,-117.18499756
1328725,50959132,"Aeshna interrupta",1,1,1,"OdonataCentral",2017,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,1907,"Odonata Central","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Aeshna","LC",42.87810135,-73.19680023
1328726,50959132,"Aeshna interrupta",1,1,1,"OdonataCentral",2017,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,1910,"Odonata Central","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Aeshna","LC",45.00999832,-93.08999634
1328727,50959132,"Aeshna interrupta",1,1,1,"OdonataCentral",2017,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,1910,"Odonata Central","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Aeshna","LC",47.56999969,-92.45999908
1328728,50959132,"Aeshna interrupta",1,1,1,"OdonataCentral",2017,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,1911,"Odonata Central","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Aeshna","LC",41.39670181,-96.61170197
1328729,50959132,"Aeshna interrupta",1,1,1,"OdonataCentral",2017,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,1913,"Odonata Central","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Aeshna","LC",41.92670059,-103.81300354
1328730,50959132,"Aeshna interrupta",1,1,1,"OdonataCentral",2017,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,1914,"Odonata Central","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Aeshna","LC",37.84529877,-119.37000275
1328731,50959132,"Aeshna interrupta",1,1,1,"OdonataCentral",2017,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,1914,"Odonata Central","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Aeshna","LC",38.92819977,-119.96800232
1328732,50959132,"Aeshna interrupta",1,1,1,"OdonataCentral",2017,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,1914,"Odonata Central","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Aeshna","LC",39.30659866,-120.68699646
1328733,50959132,"Aeshna interrupta",1,1,1,"OdonataCentral",2017,"Abbott, J.C. 2006-2017. OdonataCentral: An online resource for the distribution and identification of Odonata."," ",NA,1915,"Odonata Central","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","AESHNIDAE","Aeshna","LC",37.87369919,-119.16400146
